fixed acidity,volatile acidity,citric acid,residual sugar,value,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Country,quality
7,0.27,0.36,20.7,218110,45,170,1.001,3,0.45,8.8,india,6
6.3,0.3,0.34,1.6,169356,14,132,0.994,3.3,0.49,9.5,Spain,6
8.1,0.28,0.4,6.9,124451,30,97,0.9951,3.26,0.44,10.1,Africa,6
7.2,0.23,0.32,8.5,,47,186,0.9956,3.19,0.4,9.9,india,6
7.2,0.23,0.32,8.5,238638,47,186,0.9956,3.19,0.4,9.9,india,6
8.1,0.28,0.4,6.9,124451,30,97,0.9951,3.26,0.44,10.1,india,6
6.2,0.32,0.16,7,174488,30,136,0.9949,3.18,0.47,9.6,Spain,6
7,0.27,0.36,20.7,218110,45,170,1.001,3,0.45,8.8,Africa,6
6.3,0.3,0.34,1.6,169356,14,132,0.994,3.3,0.49,9.5,india,6
8.1,0.22,0.43,1.5,165507,28,129,0.9938,3.22,0.45,11,Spain,6
8.1,0.27,0.41,1.45,80829,11,63,0.9908,2.99,0.56,12,Africa,5
8.6,0.23,0.4,4.2,139847,17,109,0.9947,3.14,0.53,9.7,india,5
7.9,0.18,0.37,1.2,96225,16,75,0.992,3.18,0.63,10.8,Spain,5
6.6,0.16,0.4,1.5,183469,48,143,0.9912,3.54,0.52,12.4,Africa,7
8.3,0.42,0.62,19.25,220676,41,172,1.0002,2.98,0.67,9.7,india,5
6.6,0.17,0.38,1.5,143696,28,112,0.9914,3.25,0.55,11.4,india,7
6.3,0.48,0.04,1.1,,30,99,,3.24,0.36,9.6,india,6
6.2,0.66,0.48,1.2,96225,29,75,0.9892,3.33,0.39,12.8,Spain,8
7.4,0.34,0.42,1.1,219393,17,171,0.9917,3.12,0.53,11.3,Africa,6
6.5,0.31,0.14,7.5,170639,34,133,0.9955,3.22,0.5,9.5,india,5
6.2,0.66,0.48,1.2,96225,29,75,0.9892,3.33,0.39,12.8,Spain,8
6.4,0.31,0.38,2.9,130866,19,102,0.9912,3.17,0.35,11,Africa,7
6.8,0.26,0.42,1.7,156526,41,122,0.993,3.47,0.48,10.5,india,8
7.6,0.67,0.14,1.5,215544,25,168,0.9937,3.05,0.51,9.3,Spain,5
6.6,0.27,0.41,1.3,182186,16,142,0.9951,3.42,0.47,10,Africa,6
7,0.25,0.32,9,314335,56,245,0.9955,3.25,0.5,10.4,india,6
6.9,0.24,0.35,1,187318,35,146,0.993,3.45,0.44,10,india,6
7,0.28,0.39,8.7,180903,32,141,0.9961,3.38,0.53,10.5,india,6
7.4,0.27,0.48,1.1,169356,17,132,0.9914,3.19,0.49,11.6,Spain,6
7.2,0.32,0.36,2,146262,37,114,0.9906,3.1,0.71,12.3,Africa,7
8.5,0.24,0.39,10.4,182186,20,142,0.9974,3.2,0.53,10,india,6
8.3,0.14,0.34,1.1,60301,7,47,0.9934,3.47,0.4,10.2,Spain,6
7.4,0.25,0.36,2.05,128300,31,100,0.992,3.19,0.44,10.8,Africa,6
6.2,0.12,0.34,1.5,150111,43,117,0.9939,3.42,0.51,9,india,6
5.8,0.27,0.2,14.95,229657,22,179,0.9962,3.37,0.37,10.2,Spain,5
7.3,0.28,0.43,1.7,157809,21,123,0.9905,3.19,0.42,12.8,Africa,5
6.5,0.39,0.23,5.4,191167,25,149,0.9934,3.24,0.35,10,india,5
7,0.33,0.32,1.2,177054,38,138,0.9906,3.13,0.28,11.2,india,6
7.3,0.24,0.39,17.95,191167,45,149,0.9999,3.21,0.36,8.6,india,5
7.3,0.24,0.39,17.95,191167,45,149,0.9999,3.21,0.36,8.6,Spain,5
6.7,0.23,0.39,2.5,202714,63,158,0.9937,3.11,0.36,9.4,Africa,6
6.7,0.24,0.39,2.9,201431,63,157,0.9937,3.1,0.34,9.4,india,6
7,0.31,0.26,7.4,205280,28,160,0.9954,3.13,0.46,9.8,Spain,6
6.6,0.24,0.27,1.4,195016,33,152,0.9934,3.22,0.56,9.5,Africa,6
6.7,0.23,0.26,1.4,197582,33,154,0.9934,3.24,0.56,9.5,india,6
7.4,0.18,0.31,1.4,214261,38,167,0.9931,3.16,0.53,10,Spain,7
6.2,0.45,0.26,4.4,264298,63,206,0.994,3.27,0.52,9.8,Africa,4
6.2,0.46,0.25,4.4,265581,62,207,0.9939,3.25,0.52,9.8,india,5
7,0.31,0.26,7.4,205280,28,160,0.9954,3.13,0.46,9.8,india,6
6.9,0.19,0.35,5,192450,32,150,0.995,3.36,0.48,9.8,india,5
7.2,0.19,0.31,1.6,221959,31,173,0.9917,3.35,0.44,11.7,Spain,6
6.6,0.25,0.29,1.1,159092,39,124,0.9914,3.34,0.58,11,Africa,7
6.2,0.16,0.33,1.1,105206,21,82,0.991,3.32,0.46,10.9,india,7
6.4,0.18,0.35,1,138564,39,108,0.9911,3.31,0.35,10.9,Spain,6
6.8,0.2,0.59,0.9,169356,38,132,0.993,3.05,0.38,9.1,Africa,6
6.9,0.25,0.35,1.3,245053,29,191,0.9908,3.13,0.52,11,india,6
7.2,0.21,0.34,11.9,273279,37,213,0.9962,3.09,0.5,9.6,Spain,6
6,0.19,0.26,12.4,188601,50,147,0.9972,3.3,0.36,8.9,Africa,6
6.6,0.38,0.15,4.6,100074,25,78,0.9931,3.11,0.38,10.2,india,6
7.4,0.2,0.36,1.2,142413,44,111,0.9926,3.36,0.34,9.9,india,6
6.8,0.22,0.24,4.9,157809,30,123,0.9951,3.03,0.46,8.6,india,6
6,0.19,0.26,12.4,188601,50,147,0.9972,3.3,0.36,8.9,Spain,6
7,0.47,0.07,1.1,193733,17,151,0.991,3.02,0.34,10.5,Africa,5
6.6,0.38,0.15,4.6,100074,25,78,0.9931,3.11,0.38,10.2,india,6
7.2,0.24,0.27,1.4,156526,31,122,0.9927,3.15,0.46,10.3,Spain,6
6.2,0.35,0.03,1.2,153960,29,120,0.9934,3.22,0.54,9.1,Africa,5
6.4,0.26,0.24,6.4,159092,27,124,0.9903,3.22,0.49,12.6,india,7
6.7,0.25,0.13,1.2,223242,81,174,0.992,3.14,0.42,9.8,Spain,5
6.7,0.23,0.31,2.1,123168,30,96,0.9926,3.33,0.64,10.7,Africa,8
7.4,0.24,0.29,10.1,134715,21,105,0.9962,3.13,0.35,9.5,india,5
6.2,0.27,0.43,7.8,313052,48,244,0.9956,3.1,0.51,9,india,6
6.8,0.3,0.23,4.6,305995.5,50.5,238.5,0.9958,3.32,0.6,9.5,india,5
6,0.27,0.28,4.8,257883,31,201,0.9964,3.69,0.71,10,Spain,5
8.6,0.23,0.46,1,92376,9,72,0.9941,2.95,0.49,9.1,Africa,6
6.7,0.23,0.31,2.1,123168,30,96,0.9926,3.33,0.64,10.7,india,8
7.4,0.24,0.29,10.1,134715,21,105,0.9962,3.13,0.35,9.5,Spain,5
7.1,0.18,0.36,1.4,111621,31,87,0.9898,3.26,0.37,12.7,Africa,7
7,0.32,0.34,1.3,88527,20,69,0.9912,3.31,0.65,12,india,7
7.4,0.18,0.3,8.8,132149,26,103,0.9961,2.94,0.56,9.3,Spain,5
6.7,0.54,0.28,5.4,134715,21,105,0.9949,3.27,0.37,9,Africa,5
6.8,0.22,0.31,1.4,146262,34,114,0.9929,3.39,0.77,10.6,india,6
7.1,0.2,0.34,16,212978,51,166,0.9985,3.21,0.6,9.2,india,6
7.1,0.34,0.2,6.1,210412,47,164,0.9946,3.17,0.42,10,india,5
7.3,0.22,0.3,8.2,265581,42,207,0.9966,3.33,0.46,9.5,Spain,6
7.1,0.43,0.61,11.8,198865,54,155,0.9974,3.11,0.45,8.7,Africa,5
7.1,0.44,0.62,11.8,195016,52,152,0.9975,3.12,0.46,8.7,india,6
7.2,0.39,0.63,11,200148,55,156,0.9974,3.09,0.44,8.7,Spain,6
6.8,0.25,0.31,13.3,259166,69,202,0.9972,3.22,0.48,9.7,Africa,6
7.1,0.43,0.61,11.8,198865,54,155,0.9974,3.11,0.45,8.7,india,5
7.1,0.44,0.62,11.8,195016,52,152,0.9975,3.12,0.46,8.7,Spain,6
7.2,0.39,0.63,11,200148,55,156,0.9974,3.09,0.44,8.7,Africa,6
6.1,0.27,0.43,7.5,311769,65,243,0.9957,3.12,0.47,9,india,5
6.9,0.24,0.33,1.7,174488,47,136,0.99,3.26,0.4,12.6,india,7
6.9,0.21,0.33,1.8,174488,48,136,0.9899,3.25,0.41,12.6,india,7
7.5,0.17,0.32,1.7,189884,51,148,0.9916,3.21,0.44,11.5,Spain,7
7.1,0.26,0.29,12.4,307920,62,240,0.9969,3.04,0.42,9.2,Africa,6
6,0.34,0.66,15.9,210412,26,164,0.9979,3.14,0.5,8.8,india,6
8.6,0.265,0.36,1.2,102640,15,80,0.9913,2.95,0.36,11.4,Spain,7
9.8,0.36,0.46,10.5,106489,4,83,0.9956,2.89,0.3,10.1,Africa,4
6,0.34,0.66,15.9,210412,26,164,0.9979,3.14,0.5,8.8,india,6
7.4,0.25,0.37,13.5,246336,52,192,0.9975,3,0.44,9.1,Spain,5
7.1,0.12,0.32,9.6,207846,64,162,0.9962,3.4,0.41,9.4,Africa,5
6,0.21,0.24,12.1,210412,55,164,0.997,3.34,0.39,9.4,india,5
7.5,0.305,0.4,18.9,218110,44,170,1,2.99,0.46,9,india,5
7.4,0.25,0.37,13.5,246336,52,192,0.9975,3,0.44,9.1,india,5
7.3,0.13,0.32,14.4,139847,34,109,0.9974,3.2,0.35,9.2,Spain,6
7.1,0.12,0.32,9.6,207846,64,162,0.9962,3.4,0.41,9.4,Africa,5
7.1,0.23,0.35,16.5,219393,60,171,0.999,3.16,0.59,9.1,india,6
7.1,0.23,0.35,16.5,219393,60,171,0.999,3.16,0.59,9.1,Spain,6
6.9,0.33,0.28,1.3,239921,37,187,0.9927,3.27,0.6,10.3,Africa,5
6.5,0.17,0.54,8.5,209129,64,163,0.9959,2.89,0.39,8.8,india,6
7.2,0.27,0.46,18.75,327165,45,255,1,3.04,0.52,8.9,Spain,5
7.2,0.31,0.5,13.3,250185,68,195,0.9982,3.01,0.47,9.2,Africa,5
6.7,0.41,0.34,9.2,192450,29,150,0.9968,3.22,0.51,9.1,india,5
6.7,0.41,0.34,9.2,192450,29,150,0.9968,3.22,0.51,9.1,india,5
5.5,0.485,0,1.5,132149,8,103,0.994,3.63,0.4,9.7,india,4
6,0.31,0.24,3.3,183469,25,143,0.9914,3.31,0.44,11.3,Spain,6
7,0.14,0.4,1.7,109055,16,85,0.9911,3.19,0.42,11.8,Africa,6
7.2,0.31,0.5,13.3,250185,68,195,0.9982,3.01,0.47,9.2,india,5
7.3,0.32,0.48,13.3,251468,57,196,0.9982,3.04,0.5,9.2,Spain,5
5.9,0.36,0.04,5.7,111621,21,87,0.9934,3.22,0.51,10.2,Africa,5
7.8,0.24,0.32,12.2,177054,42,138,0.9984,3.01,0.54,8.8,india,5
7.4,0.16,0.31,6.85,168073,31,131,0.9952,3.29,0.34,9.7,Spain,5
6.9,0.19,0.28,5,187318,14,146,0.9952,3.29,0.36,9.1,Africa,6
6.4,0.13,0.47,1.6,202714,40,158,0.9928,3.21,0.36,9.8,india,6
6.7,0.19,0.36,1.1,183469,63,143,0.9912,3.27,0.48,11,india,6
7.4,0.39,0.23,7,161658,29,126,0.994,3.14,0.42,10.5,india,5
6.5,0.24,0.32,7.6,260449,48,203,0.9958,3.45,0.54,9.7,Spain,7
6.1,0.3,0.56,2.8,229657,47,179,0.9924,3.3,0.57,10.9,Africa,7
6.1,0.3,0.56,2.7,236072,46,184,0.9924,3.31,0.57,10.9,india,6
5.7,0.26,0.25,10.4,73131,7,57,0.994,3.39,0.37,10.6,Spain,5
6.5,0.24,0.32,7.6,260449,48,203,0.9958,3.45,0.54,9.7,Africa,7
6.5,0.425,0.4,13.1,309203,59,241,0.9979,3.23,0.57,9,india,5
6.6,0.24,0.27,15.8,241204,46,188,0.9982,3.24,0.51,9.2,Spain,5
6.8,0.27,0.22,8.1,260449,55,203,0.9961,3.19,0.52,8.9,Africa,5
6.7,0.27,0.31,15.7,229657,44,179,0.9979,3.26,0.56,9.6,india,5
8.2,0.23,0.4,1.2,155243,36,121,0.992,3.12,0.38,10.7,india,6
7.1,0.37,0.67,10.5,198865,49,155,0.9975,3.16,0.44,8.7,india,5
6.8,0.19,0.36,1.9,123168,30,96,0.9917,3.15,0.54,10.8,Spain,7
8.1,0.28,0.39,1.9,101357,18,79,0.9923,3.23,0.52,11.8,Africa,6
6.3,0.31,0.34,2.2,98791,20,77,0.9927,3.3,0.43,10.2,india,5
7.1,0.37,0.67,10.5,198865,49,155,0.9975,3.16,0.44,8.7,Spain,5
7.9,0.21,0.4,1.2,137281,38,107,0.992,3.21,0.54,10.8,Africa,6
8.5,0.21,0.41,4.3,127017,24,99,0.9947,3.18,0.53,9.7,india,6
8.1,0.2,0.4,2,111621,19,87,0.9921,3.12,0.54,11.2,Spain,6
6.3,0.255,0.37,1.1,146262,37,114,0.9905,3,0.39,10.9,Africa,6
5.6,0.16,0.27,1.4,215544,53,168,0.9918,3.28,0.37,10.1,india,6
6.4,0.595,0.14,5.2,124451,15,97,0.9951,3.38,0.36,9,india,4
6.3,0.34,0.33,4.6,102640,19,80,0.9917,3.38,0.58,12,india,7
6.9,0.25,0.3,4.1,148828,23,116,0.994,2.99,0.38,9.4,Spain,6
7.9,0.22,0.38,8,195016,46,152,0.9934,3.12,0.32,11.5,Africa,7
7.6,0.18,0.46,10.2,173205,58,135,0.9968,3.14,0.43,9.9,india,6
6.9,0.25,0.3,4.1,148828,23,116,0.994,2.99,0.38,9.4,Spain,6
7.2,0.18,0.41,1.2,124451,41,97,0.9919,3.14,0.45,10.4,Africa,5
8.2,0.23,0.4,7.5,97508,12,76,0.9966,3.06,0.84,9.7,india,6
7.4,0.24,0.42,14,254034,48,198,0.9979,2.89,0.42,8.9,Spain,6
7.4,0.24,0.42,14,254034,48,198,0.9979,2.89,0.42,8.9,Africa,6
6.1,0.32,0.24,1.5,159092,38,124,0.9898,3.29,0.42,12.4,india,7
5.2,0.44,0.04,1.4,152677,43,119,0.9894,3.36,0.33,12.1,india,8
5.2,0.44,0.04,1.4,152677,43,119,0.9894,3.36,0.33,12.1,india,8
6.1,0.32,0.24,1.5,159092,38,124,0.9898,3.29,0.42,12.4,Spain,7
6.4,0.22,0.56,14.5,203997,27,159,0.998,2.98,0.4,9.1,Africa,5
6.3,0.36,0.3,4.8,109055,14,85,0.9932,3.28,0.39,10.6,india,5
7.4,0.24,0.42,14,254034,48,198,0.9979,2.89,0.42,8.9,Spain,6
6.7,0.24,0.35,13.1,263015,64,205,0.997,3.15,0.5,9.5,Africa,5
7,0.23,0.36,13,227091,72,177,0.9972,3.16,0.49,9.8,india,5
8.4,0.27,0.46,8.7,252751,39,197,0.9974,3.14,0.59,9.6,Spain,6
6.7,0.46,0.18,2.4,125734,25,98,0.9896,3.08,0.44,12.6,Africa,7
7.5,0.29,0.31,8.95,193733,20,151,0.9968,3.08,0.54,9.3,india,5
9.8,0.42,0.48,9.85,141130,5,110,0.9958,2.87,0.29,10,india,5
7.1,0.3,0.46,1.5,170639,29,133,0.9906,3.12,0.54,12.7,india,6
7.9,0.19,0.45,1.5,123168,17,96,0.9917,3.13,0.39,11,Spain,6
7.6,0.48,0.37,0.8,128300,4,100,0.9902,3.03,0.39,11.4,Africa,4
6.3,0.22,0.43,4.55,166790,31,130,0.9918,3.35,0.33,11.5,india,7
7.5,0.27,0.31,17.7,221959,33,173,0.999,3.09,0.64,10.2,Spain,5
6.9,0.23,0.4,7.5,193733,50,151,0.9927,3.11,0.27,11.4,Africa,6
7.2,0.32,0.47,5.1,83395,19,65,0.991,3.03,0.41,12.6,india,4
5.9,0.23,0.3,12.9,218110,57,170,0.9972,3.28,0.39,9.4,Spain,5
6,0.67,0.07,1.2,138564,9,108,0.9931,3.11,0.35,8.7,Africa,4
6.4,0.25,0.32,5.5,225808,41,176,0.995,3.19,0.68,9.2,india,6
6.4,0.33,0.31,5.5,221959,42,173,0.9951,3.19,0.66,9.3,india,6
7.1,0.34,0.15,1.2,234789,61,183,0.9936,3.09,0.43,9.2,india,5
6.8,0.28,0.4,22,214261,48,167,1.001,2.93,0.5,8.7,Spain,5
6.9,0.27,0.4,14,291241,64,227,0.9979,3.18,0.58,9.6,Africa,6
6.8,0.26,0.56,11.9,289958,64,226,0.997,3.02,0.63,9.3,india,5
6.8,0.29,0.56,11.9,295090,66,230,0.9972,3.02,0.63,9.3,Spain,5
6.7,0.24,0.41,9.4,212978,49,166,0.9954,3.12,0.61,9.9,Africa,6
5.9,0.3,0.23,4.2,152677,42,119,0.9924,3.15,0.5,11,india,5
6.8,0.53,0.35,3.8,139847,26,109,0.9906,3.26,0.57,12.7,Spain,8
6.5,0.28,0.28,8.5,269430,54,210,0.9962,3.09,0.54,8.9,Africa,4
6.6,0.28,0.28,8.5,270713,55,211,0.9962,3.09,0.55,8.9,india,6
6.8,0.28,0.4,22,214261,48,167,1.001,2.93,0.5,8.7,india,5
6.8,0.28,0.36,8,157809,28,123,0.9928,3.02,0.37,11.4,india,6
6.6,0.15,0.34,5.1,160375,34,125,0.9942,3.36,0.42,9.6,Spain,5
6.4,0.29,0.44,3.6,232223,75,181,0.9942,3.02,0.41,9.1,Africa,5
6.4,0.3,0.45,3.5,230940,76,180,0.9942,3.02,0.39,9.1,india,6
6.4,0.29,0.44,3.6,234789,75,183,0.9942,3.01,0.38,9.1,Spain,5
6.8,0.26,0.24,7.8,274562,54,214,0.9961,3.13,0.47,8.9,Africa,5
7.1,0.32,0.24,13.1,261732,52,204,0.998,3.1,0.49,8.8,india,5
6.8,0.26,0.24,7.8,274562,54,214,0.9961,3.13,0.47,8.9,Spain,5
6.8,0.27,0.26,16.1,251468,55,196,0.9984,3.15,0.5,9.3,Africa,5
7.1,0.32,0.24,13.1,261732,52,204,0.998,3.1,0.49,8.8,india,5
6.9,0.54,0.32,13.2,302788,53,236,0.9973,3.2,0.5,9.6,india,5
6.8,0.26,0.34,13.9,171922,39,134,0.9949,3.33,0.53,12,india,6
5.8,0.28,0.35,2.3,146262,36,114,0.9924,3.28,0.5,10.2,Spain,4
6.4,0.21,0.5,11.6,196299,45,153,0.9972,3.15,0.43,8.8,Africa,5
7,0.16,0.32,8.3,161658,38,126,0.9958,3.21,0.34,9.2,india,5
10.2,0.44,0.88,6.2,159092,20,124,0.9968,2.99,0.51,9.9,Spain,4
6.8,0.57,0.29,2.2,98791,15,77,0.9938,3.32,0.74,10.2,Africa,5
6.1,0.4,0.31,0.9,218110,23,170,0.993,3.22,0.77,9.5,india,6
5.6,0.245,0.25,9.7,87244,12,68,0.994,3.31,0.34,10.5,Spain,5
6.8,0.18,0.38,1.4,142413,35,111,0.9918,3.32,0.59,11.2,Africa,7
7,0.16,0.32,8.3,161658,38,126,0.9958,3.21,0.34,9.2,india,5
6.7,0.13,0.29,5.3,156526,31,122,0.9944,3.44,0.37,9.7,india,6
6.2,0.25,0.25,1.4,134715,35,105,0.9912,3.3,0.44,11.1,india,7
5.8,0.26,0.24,9.2,195016,55,152,0.9961,3.31,0.38,9.4,Spain,5
7.5,0.27,0.36,7,210412,45,164,0.9939,3.03,0.33,11,Africa,5
5.8,0.26,0.24,9.2,195016,55,152,0.9961,3.31,0.38,9.4,india,5
5.7,0.28,0.24,17.5,214261,60,167,0.9989,3.31,0.44,9.4,Spain,5
7.5,0.23,0.36,7,206563,43,161,0.9938,3.04,0.32,11,Africa,5
7.5,0.27,0.36,7,210412,45,164,0.9939,3.03,0.33,11,india,5
7.2,0.685,0.21,9.5,220676,33,172,0.9971,3,0.55,9.1,Spain,6
6.2,0.25,0.25,1.4,134715,35,105,0.9912,3.3,0.44,11.1,Africa,7
6.5,0.19,0.3,0.8,184752,33,144,0.9936,3.42,0.39,9.1,india,6
6.3,0.495,0.22,1.8,179620,31,140,0.9929,3.39,0.54,10.4,india,6
7.1,0.24,0.41,17.8,186035,39,145,0.9998,3.32,0.39,8.7,india,5
6.4,0.17,0.32,2.4,256600,41,200,0.9938,3.5,0.5,9.7,Spain,6
7.1,0.25,0.32,10.3,348976,66,272,0.9969,3.17,0.52,9.1,Africa,6
6.4,0.17,0.32,2.4,256600,41,200,0.9938,3.5,0.5,9.7,india,6
7.1,0.24,0.41,17.8,186035,39,145,0.9998,3.32,0.39,8.7,Spain,5
6.8,0.64,0.08,9.7,182186,26,142,0.9972,3.37,0.46,8.9,Africa,4
8.3,0.28,0.4,7.8,248902,38,194,0.9976,3.34,0.51,9.6,india,6
8.2,0.27,0.39,7.8,266864,49,208,0.9976,3.31,0.51,9.5,Spain,6
7.2,0.23,0.38,14.3,248902,55,194,0.9979,3.09,0.44,9,Africa,6
7.2,0.23,0.38,14.3,248902,55,194,0.9979,3.09,0.44,9,india,6
7.2,0.23,0.38,14.3,248902,55,194,0.9979,3.09,0.44,9,india,6
7.2,0.23,0.38,14.3,248902,55,194,0.9979,3.09,0.44,9,india,6
6.8,0.52,0.32,13.2,283543,54,221,0.9972,3.27,0.5,9.6,Spain,6
7,0.26,0.59,1.4,153960,40,120,0.9918,3.34,0.41,11.1,Africa,7
6.2,0.25,0.21,15.55,203997,28,159,0.9982,3.48,0.64,9.6,india,6
7.3,0.32,0.23,13.7,252751,49,197,0.9985,3.2,0.46,8.7,Spain,5
7.7,0.31,0.26,7.8,115470,23,90,0.9944,3.13,0.5,10.4,Africa,5
7.1,0.21,0.37,2.4,128300,23,100,0.9903,3.15,0.38,11.4,india,7
6.8,0.24,0.34,2.7,280335.5,64.5,218.5,0.9934,3.3,0.58,9.7,Spain,6
6.9,0.4,0.56,11.2,182186,40,142,0.9975,3.14,0.46,8.7,Africa,5
6.1,0.18,0.36,2,320108.5,20,249.5,0.9923,3.37,0.79,11.3,india,6
6.8,0.21,0.27,2.1,178337,26,139,0.99,3.16,0.61,12.6,india,7
